Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-226.41301	105.73028	-67.75322	-489.74756	82.8125	-0.09503435	0.025432676	0.041567057	-0.2192768	4000	9.009242e-08	39244.156	-0.014837711	-1473.0352	1.350134	0.012183997	0.12325	79.0	3.2613043785095215
1	-159.66896	106.491684	23.454529	-523.5333	87.977776	-4.179254	0.4659069	1.4102018	-4.752367	8000	-5.984306e-08	21190.145	-0.010418939	-818.8496	1.3697262	0.008930016	0.07625	79.0	6.576418399810791
2	-134.64684	55.612663	-36.39671	-342.7802	88.244446	-7.7671585	0.105160795	-3.5194824	-7.9023046	12000	-8.630752e-08	11792.186	-0.012144053	-500.29395	1.3537109	0.011825066	0.10875	79.0	9.776629447937012
3	-135.82187	59.33728	-60.426735	-347.72665	91.325584	-10.346556	0.3944341	-0.2187914	-10.466911	16000	-1.0967255e-08	11569.107	-0.012646701	-495.33008	1.3435258	0.015037479	0.128	24.0	12.895691871643066
4	-130.89508	86.86083	-30.80269	-534.70593	92.74419	-12.964278	0.05361847	-11.799167	-13.014099	20000	-1.6629697e-08	14568.963	-0.00927186	-472.94824	1.3510737	0.014130138	0.1045	79.0	16.262887239456177
5	-116.42986	69.899956	-9.855194	-322.91202	96.02439	-15.4182415	0.71368575	-6.410283	-15.541843	24000	2.1457673e-08	10740.128	-0.011102463	-401.22168	1.3570664	0.008743963	0.07875	79.0	19.800769329071045
6	-117.140526	62.18783	18.989952	-288.74127	101.333336	-17.8105	0.09354255	-15.442401	-17.837746	28000	-1.3828277e-08	8925.998	-0.007865473	-351.65918	1.3445482	0.010484582	0.06375	79.0	23.36280083656311
7	-119.92281	80.56658	30.184952	-361.14996	109.861115	-20.051847	0.07920037	-18.816483	-20.080082	32000	-4.053116e-08	12412.46	-0.009502093	-414.12598	1.305985	0.008439996	0.12325	79.0	27.170716285705566
8	-125.93134	96.311874	19.54451	-380.65964	119.63636	-22.499783	0.07652934	-20.523155	-22.523094	36000	-2.2411346e-08	13490.308	-0.014403078	-412.3037	1.2825468	0.00991006	0.122	79.0	31.248058795928955
9	-127.04783	107.32138	-0.48388872	-415.4439	157.6	-24.89465	0.2789618	-22.971073	-24.985605	40000	-9.23872e-09	17197.236	-0.006427111	-508.64844	1.2488853	0.0058429157	0.044	79.0	36.672518253326416
10	-59.698765	43.871395	-4.676356	-244.10075	131.76666	-27.616207	0.103101805	-26.46047	-27.63964	44000	-5.185604e-09	2576.9883	-0.013046821	-56.939697	1.253904	0.010384287	0.12825	79.0	40.91516637802124
11	-79.218414	73.40932	27.824615	-302.37137	166.45833	-28.570015	0.2305116	-27.299953	-28.669891	48000	1.692772e-08	4617.968	-0.008669071	-104.70459	1.2280936	0.007817827	0.10825	79.0	48.90055012702942
12	-65.891266	67.49863	28.875452	-248.64737	168.38889	-29.893242	0.051519092	-29.263498	-29.918295	52000	1.1563301e-08	5336.2173	-0.0096801855	-95.02539	1.1955179	0.0036013012	0.05925	79.0	57.72662854194641
13	-51.34074	62.911392	31.167294	-224.9456	259.66666	-31.16111	0.05115242	-30.806963	-31.187729	56000	1.6689301e-09	4552.3115	-0.007856552	-78.02734	1.1860585	0.009233617	0.12675	79.0	67.36858534812927
14	-149.17847	120.72147	-5.5338955	-451.20004	248.375	-32.357605	0.031869926	-32.012596	-32.36978	60000	2.2783876e-08	20499.115	-0.009466943	-719.91797	1.1483325	0.006418034	0.06725	79.0	74.6725664138794
15	-105.89696	112.54913	27.535175	-299.02563	404.75	-35.776196	0.0335617	-35.65935	-35.80019	64000	1.0430813e-08	5820.0557	-0.011689192	-110.79639	1.2114866	0.014286153	0.10775	79.0	89.319406747818
16	-65.35013	74.32145	17.260305	-213.48195	275.72726	-37.314953	0.0353927	-37.162216	-37.33359	68000	6.556511e-10	3171.2368	-0.0074660135	-41.789795	1.1908108	0.009580559	0.093	79.0	101.13880467414856
